10/23/2018 09:18:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:26 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:28 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:29 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:31 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:33 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:36 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:45 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:54 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:55 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:00 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:05 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:08 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:10 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
